+----------------------------+-----------+-------------------+----------------+---------------+-----------------+----------------+---------------+----+-----+---+-------------+
|key                         |fare_amount|pickup_datetime    |pickup_longitude|pickup_latitude|dropoff_longitude|dropoff_latitude|passenger_count|year|month|day|pickup_region|
+----------------------------+-----------+-------------------+----------------+---------------+-----------------+----------------+---------------+----+-----+---+-------------+
|2010-01-29 03:01:00.00000034|5.7        |2010-01-29 00:01:00|-73.983660      |40.744033      |-74.002672       |40.739890       |1              |2010|1    |29 |Tudor City   |
|2010-01-29 03:01:00.00000034|5.7        |2010-01-29 00:01:00|-73.983660      |40.744033      |-74.002672       |40.739890       |1              |2010|1    |29 |Midtown East |
|2010-01-29 03:01:00.00000034|5.7        |2010-01-29 00:01:00|-73.983660      |40.744033      |-74.002672       |40.739890       |1              |2010|1    |29 |Turtle Bay   |
|2010-01-29 03:01:00.00000034|5.7        |2010-01-29 00:01:00|-73.983660      |40.744033      |-74.002672       |40.739890       |1              |2010|1    |29 |Sutton Place |
|2010-01-29 03:01:00.00000034|5.7        |2010-01-29 00:01:00|-73.983660      |40.744033      |-74.002672       |40.739890       |1              |2010|1    |29 |Murray Hill  |
|2010-01-29 03:01:26.0000003 |5.7        |2010-01-29 00:01:26|-73.995580      |40.723329      |-74.003206       |40.733115       |2              |2010|1    |29 |Tudor City   |
|2010-01-29 03:01:26.0000003 |5.7        |2010-01-29 00:01:26|-73.995580      |40.723329      |-74.003206       |40.733115       |2              |2010|1    |29 |Midtown East |
|2010-01-29 03:01:26.0000003 |5.7        |2010-01-29 00:01:26|-73.995580      |40.723329      |-74.003206       |40.733115       |2              |2010|1    |29 |Turtle Bay   |
|2010-01-29 03:01:26.0000003 |5.7        |2010-01-29 00:01:26|-73.995580      |40.723329      |-74.003206       |40.733115       |2              |2010|1    |29 |Sutton Place |
|2010-01-29 03:01:26.0000003 |5.7        |2010-01-29 00:01:26|-73.995580      |40.723329      |-74.003206       |40.733115       |2              |2010|1    |29 |Murray Hill  |
|2010-01-29 03:05:00.00000034|5.7        |2010-01-29 00:05:00|-73.988618      |40.733918      |-73.999915       |40.728573       |1              |2010|1    |29 |Tudor City   |
|2010-01-29 03:05:00.00000034|5.7        |2010-01-29 00:05:00|-73.988618      |40.733918      |-73.999915       |40.728573       |1              |2010|1    |29 |Midtown East |
|2010-01-29 03:05:00.00000034|5.7        |2010-01-29 00:05:00|-73.988618      |40.733918      |-73.999915       |40.728573       |1              |2010|1    |29 |Turtle Bay   |
|2010-01-29 03:05:00.00000034|5.7        |2010-01-29 00:05:00|-73.988618      |40.733918      |-73.999915       |40.728573       |1              |2010|1    |29 |Sutton Place |
|2010-01-29 03:05:00.00000034|5.7        |2010-01-29 00:05:00|-73.988618      |40.733918      |-73.999915       |40.728573       |1              |2010|1    |29 |Murray Hill  |
|2010-01-29 03:06:49.0000001 |4.1        |2010-01-29 00:06:49|-73.987576      |40.760564      |-73.977201       |40.763306       |1              |2010|1    |29 |Tudor City   |
|2010-01-29 03:06:49.0000001 |4.1        |2010-01-29 00:06:49|-73.987576      |40.760564      |-73.977201       |40.763306       |1              |2010|1    |29 |Midtown East |
|2010-01-29 03:06:49.0000001 |4.1        |2010-01-29 00:06:49|-73.987576      |40.760564      |-73.977201       |40.763306       |1              |2010|1    |29 |Turtle Bay   |
|2010-01-29 03:06:49.0000001 |4.1        |2010-01-29 00:06:49|-73.987576      |40.760564      |-73.977201       |40.763306       |1              |2010|1    |29 |Sutton Place |
|2010-01-29 03:06:49.0000001 |4.1        |2010-01-29 00:06:49|-73.987576      |40.760564      |-73.977201       |40.763306       |1              |2010|1    |29 |Murray Hill  |
|2010-01-29 03:15:00.00000011|11.3       |2010-01-29 00:15:00|-73.987462      |40.760543      |-73.956625       |40.766985       |1              |2010|1    |29 |Tudor City   |
|2010-01-29 03:15:00.00000011|11.3       |2010-01-29 00:15:00|-73.987462      |40.760543      |-73.956625       |40.766985       |1              |2010|1    |29 |Midtown East |
|2010-01-29 03:15:00.00000011|11.3       |2010-01-29 00:15:00|-73.987462      |40.760543      |-73.956625       |40.766985       |1              |2010|1    |29 |Turtle Bay   |
|2010-01-29 03:15:00.00000011|11.3       |2010-01-29 00:15:00|-73.987462      |40.760543      |-73.956625       |40.766985       |1              |2010|1    |29 |Sutton Place |
